,artistinverted
Jay-Z,5
"Houston, Whitney",4
"Dixie Chicks, The",4
DMX,3
"Aguilera, Christina",3
"McGraw, Tim",3
"Backstreet Boys, The",3
"Thomas, Carl",3
N'Sync,3
Destiny's Child,3
SheDaisy,3
Sisqo,3
"Braxton, Toni",3
Limp Bizkit,3
"Price, Kelly",3
"Spears, Britney",3
"Rimes, LeAnn",3
Eminem,3
Lonestar,3
"Martin, Ricky",3
"Jackson, Alan",3
Jagged Edge,2
"McEntire, Reba",2
3 Doors Down,2
D'Angelo,2
Eve,2
Nine Days,2
"Anthony, Marc",2
"Paisley, Brad",2
"Hill, Faith",2
"Diffie, Joe",2
Madonna,2
"Eastsidaz, The",2
"Levert, Gerald",2
"Walker, Clay",2
Third Eye Blind,2
"Simpson, Jessica",2
"Messina, Jo Dee",2
Vitamin C,2
"Carey, Mariah",2
Aaliyah,2
Creed,2
LFO,2
Metallica,2
Vertical Horizon,2
"Keith, Toby",2
Mya,2
"Brock, Chad",2
Red Hot Chili Peppers,2
Pink,2
Joe,2
Savage Garden,2
M2M,2
Dr. Dre,2
"Iglesias, Enrique",2
"McBride, Martina",2
Da Brat,2
Lil' Kim,2
"Chesney, Kenny",2
Ginuwine,2
Avant,2
"Strait, George",2
"Vassar, Phil",2
"Blige, Mary J.",2
"Raye, Collin",1
Baha Men,1
Lox,1
2 Pac,1
Sting,1
Dream,1
"Montgomery, John Michael",1
"Wright, Chely",1
Santana,1
Lil Wayne,1
Q-Tip,1
504 Boyz,1
"Black, Clint",1
Ideal,1
Sister Hazel,1
Nu Flavor,1
"Jean, Wyclef",1
Eiffel 65,1
Nelly,1
Everclear,1
Kelis,1
Before Dark,1
Janet,1
Beenie Man,1
"Loveless, Patty",1
"Henley, Don",1
"Urban, Keith",1
"Larrieux, Amel",1
Sugar Ray,1
Westlife,1
Pearl Jam,1
Fragma,1
Barenaked Ladies,1
"Clark, Terri",1
"Worley, Darryl",1
"Davidson, Clay",1
Ruff Endz,1
Blink-182,1
"Adams, Yolanda",1
De La Soul,1
Kandi,1
"Lopez, Jennifer",1
"Evans, Sara",1
IMx,1
Brooks & Dunn,1
Changing Faces,1
Tamar,1
Kumbia Kings,1
"Gilman, Billy",1
"Hart, Beth",1
"John, Elton",1
Montgomery Gentry,1
Hot Boys,1
Big Punisher,1
"Heatherly, Eric",1
Fatboy Slim,1
"Sheist, Shade",1
"Williams, Robbie",1
Shyne,1
Blaque,1
Ying Yang Twins,1
Son By Four,1
Hoku,1
"Jordan, Montell",1
A*Teens,1
Bloodhound Gang,1
"Smith, Will",1
"Carter, Aaron",1
"Offspring, The",1
En Vogue,1
BBMak,1
"Gray, Macy",1
"Adkins, Trace",1
Splender,1
Puff Daddy,1
Sonique,1
Tamia,1
"Allan, Gary",1
"Badu, Erkyah",1
"Cyrus, Billy Ray",1
"Byrd, Tracy",1
Guy,1
Mystikal,1
J-Shin,1
Counting Crows,1
matchbox twenty,1
TLC,1
Foo Fighters,1
Cam'ron,1
"Jones, Donell",1
Stone Temple Pilots,1
Hanson,1
98¡,1
Rascal Flatts,1
Train,1
"Mumba, Samantha",1
"Tritt, Travis",1
"Brooks, Garth",1
"Fabian, Lara",1
Ghostface Killah,1
"Herndon, Ty",1
Ludacris,1
Yankee Grey,1
Profyle,1
Lil' Zane,1
Smash Mouth,1
"Hollister, Dave",1
Trick Daddy,1
"Estefan, Gloria",1
Alice Deejay,1
Kid Rock,1
Tuesday,1
"Wallflowers, The",1
Common,1
"Lawrence, Tracy",1
Madison Avenue,1
Ice Cube,1
Usher,1
"Spencer, Tracie",1
"Yearwood, Trisha",1
"Rogers, Kenny",1
Lucy Pearl,1
"McKnight, Brian",1
Filter,1
Mary Mary,1
SoulDecision,1
Zombie Nation,1
"Kravitz, Lenny",1
Juvenile,1
Amber,1
"Wills, Mark",1
Funkmaster Flex,1
"Dion, Celine",1
No Doubt,1
"Bega, Lou",1
"Griggs, Andy",1
2Ge+her,1
Kenny G,1
"Gill, Vince",1
"Stone, Angie",1
"Moore, Mandy",1
Nas,1
R.E.M.,1
Next,1
Sammie,1
"Cagle, Chris",1
Ja Rule,1
Lil Bow Wow,1
Black Rob,1
"Moore, Chante",1
"Tippin, Aaron",1
Drama,1
LL Cool J,1
"Carter, Torrey",1
Trina,1
Papa Roach,1
Musiq,1
Anastacia,1
Master P,1
"Elliott, Missy ""Misdemeanor""",1
Lil' Mo,1
Bon Jovi,1
Goo Goo Dolls,1
Clark Family Experience,1
